hotspot_geometry,hotspot_tag,hotspot_location
"POLYGON ((-6.2781921 53.3495258, -6.2781659 53.3496411, -6.2781329 53.3496435, -6.2778564 53.3496636, -6.2778061 53.3496131, -6.277844 53.3493909, -6.2778654 53.3492656, -6.2781635 53.349493, -6.2781921 53.3495258))",parking,
"POLYGON ((-6.2640509 53.3043893, -6.2642191 53.3045613, -6.2642639 53.3045952, -6.2643221 53.3046393, -6.2644904 53.3047032, -6.2642524 53.3048535, -6.26405 53.304939, -6.2638893 53.3049495, -6.2637035 53.304937, -6.2635428 53.3048869, -6.2634995 53.3048453, -6.2634363 53.3047846, -6.2634154 53.30472, -6.2634401 53.30468, -6.26371 53.3045426, -6.2640509 53.3043893))",parking,Mount Carmel Hospital
"POLYGON ((-6.2636722 53.2914526, -6.2627768 53.2914292, -6.2627639 53.2916376, -6.2627298 53.2921857, -6.261953 53.2921684, -6.2619488 53.2922508, -6.2619419 53.2923253, -6.2632233 53.2923565, -6.2633525 53.2922937, -6.2635642 53.292247, -6.2635634 53.2921212, -6.2635667 53.2920261, -6.26362 53.2920267, -6.2636665 53.2920272, -6.2636754 53.2915163, -6.2636722 53.2914526))",parking,
"POLYGON ((-6.3203829 53.23952, -6.3205353 53.239554, -6.3205754 53.2397104, -6.3206078 53.2398421, -6.3206428 53.2399652, -6.3206476 53.2401111, -6.3206134 53.2401347, -6.3205169 53.2400226, -6.3204906 53.2399816, -6.3204552 53.2399264, -6.3204289 53.2398406, -6.3204021 53.2397141, -6.3203978 53.2396781, -6.3203896 53.2396086, -6.3203829 53.23952))",parking,Killakee Car Park
"POLYGON ((-6.2835295 53.2993363, -6.2835421 53.2992014, -6.2839654 53.298553, -6.2840726 53.2985789, -6.2841633 53.2986008, -6.2838735 53.2990166, -6.2837315 53.2992712, -6.2837105 53.2993237, -6.2836671 53.2994317, -6.283626 53.2995755, -6.2835654 53.2994538, -6.2835295 53.2993363))",parking,Rathfarnham Castle
"POLYGON ((-6.2687354 53.3110931, -6.2679488 53.3111455, -6.2676453 53.3111368, -6.2675972 53.3111348, -6.2672516 53.3111309, -6.2671248 53.3111295, -6.2663908 53.3111198, -6.2663568 53.3111019, -6.2663587 53.3110618, -6.2661133 53.3110589, -6.2661161 53.3106623, -6.2662555 53.3106641, -6.2663433 53.3106652, -6.2664102 53.3104603, -6.2664265 53.3104084, -6.266475 53.3101939, -6.2664703 53.3101783, -6.2664645 53.3100289, -6.2664562 53.30996, -6.2664096 53.309721, -6.2663831 53.3095848, -6.2662428 53.3091202, -6.2661541 53.3080979, -6.2672752 53.3078836, -6.267237 53.3077285, -6.2670739 53.3073547, -6.2672335 53.3073398, -6.2674909 53.307862, -6.267723 53.3078866, -6.2683563 53.3077634, -6.2683811 53.3080915, -6.2684421 53.3084386, -6.2684593 53.3085367, -6.2684818 53.3088171, -6.2685057 53.309115, -6.2685096 53.309164, -6.2685135 53.3092131, -6.268515 53.3092322, -6.268533 53.3095416, -6.2685669 53.3098665, -6.2685757 53.3101226, -6.2685843 53.3103692, -6.2686333 53.3107269, -6.268678 53.3109501, -6.2687354 53.3110931))",hospital,St Luke's Hospital
"POLYGON ((-6.2735209 53.3102029, -6.272665 53.310358, -6.271932 53.3104782, -6.271616 53.3105362, -6.2707958 53.3107337, -6.270644 53.3107817, -6.2706021 53.3108541, -6.2704181 53.3111739, -6.2699152 53.3110819, -6.2696183 53.3110892, -6.2693239 53.311097, -6.2689552 53.3111156, -6.2687354 53.3110931, -6.268678 53.3109501, -6.2686333 53.3107269, -6.2685933 53.3104352, -6.2685843 53.3103692, -6.2685757 53.3101226, -6.2685669 53.3098665, -6.268533 53.3095416, -6.2698698 53.3096066, -6.2700374 53.3096147, -6.27042 53.3096332, -6.2704769 53.3093606, -6.2707322 53.3093836, -6.2710114 53.309634, -6.2714594 53.3097864, -6.2711983 53.3102837, -6.2715755 53.3103216, -6.2720605 53.31027, -6.2721856 53.3102365, -6.2726252 53.3101085, -6.2728101 53.3100623, -6.2733238 53.3099011, -6.2733403 53.3099168, -6.273359 53.30994, -6.2733745 53.3099637, -6.2733758 53.3099833, -6.2733644 53.3100001, -6.273345 53.3100058, -6.2733728 53.310065, -6.2734111 53.3100711, -6.2734299 53.3100801, -6.2734663 53.3100975, -6.2734985 53.3101207, -6.27352 53.3101492, -6.2735209 53.3102029))",hospital,Lucena Clinic & St Peter's School
"POLYGON ((-6.328407 53.2870612, -6.3282634 53.2867813, -6.3281608 53.2868214, -6.3282552 53.2869343, -6.3280063 53.2870882, -6.327869 53.2869805, -6.3275171 53.2872832, -6.327663 53.2873858, -6.328407 53.2870612))",parking,
"POLYGON ((-6.267448 53.3439679, -6.2674185 53.3438728, -6.2674428 53.3438701, -6.2674256 53.3438144, -6.2674047 53.3437467, -6.2673804 53.3437494, -6.26736 53.3436895, -6.2669113 53.3437325, -6.2669871 53.3439774, -6.2669994 53.3440173, -6.2671043 53.3440058, -6.2671092 53.3440219, -6.2672304 53.3440085, -6.2673516 53.3439951, -6.2673466 53.343979, -6.267448 53.3439679))",townhall,Dublin City Hall
"POLYGON ((-6.3190016 53.2831206, -6.3190377 53.2830194, -6.3189671 53.2830099, -6.3190224 53.2828798, -6.3189552 53.2828692, -6.3189887 53.2828063, -6.3189069 53.2827878, -6.3189301 53.2827428, -6.3189408 53.2827221, -6.3186843 53.2826229, -6.3183026 53.2824818, -6.3175567 53.2823414, -6.3174796 53.2823377, -6.3172625 53.2823272, -6.3169091 53.2823101, -6.316431 53.2823129, -6.3164178 53.2823126, -6.3164032 53.2823131, -6.3163188 53.2827629, -6.3163001 53.282843, -6.3163421 53.2828535, -6.3163785 53.2828711, -6.3164499 53.2828833, -6.3166199 53.2825483, -6.3175083 53.2827095, -6.317622 53.2827301, -6.3176266 53.2827309, -6.3176118 53.2827601, -6.3176041 53.2827752, -6.317626 53.2827732, -6.3176399 53.2828296, -6.3175883 53.2828341, -6.3175942 53.282858, -6.3175967 53.2828585, -6.3183137 53.2829954, -6.3185998 53.2830431, -6.3190016 53.2831206))",parking,
"POLYGON ((-6.3163768 53.2830507, -6.316201 53.2833838, -6.3163689 53.2835543, -6.3165454 53.2835104, -6.3166177 53.2834927, -6.3166716 53.2834687, -6.3166888 53.2834071, -6.3166647 53.2833428, -6.3167627 53.2831095, -6.3163768 53.2830507))",parking,
"POLYGON ((-6.3170102 53.2894854, -6.316575 53.2896041, -6.316551 53.2896235, -6.316499 53.2895235, -6.3164844 53.2894819, -6.316531 53.2894759, -6.3166289 53.289462, -6.3166404 53.2894911, -6.3169201 53.2894516, -6.3169379 53.2894448, -6.3169523 53.2894286, -6.3169506 53.2894116, -6.3168603 53.2891828, -6.316846 53.2891554, -6.3182024 53.2890382, -6.3182447 53.2891899, -6.3174816 53.289358, -6.3170102 53.2894854))",parking,
"POLYGON ((-6.3164769 53.2916675, -6.3165672 53.291585, -6.3161602 53.291456, -6.3156761 53.2913025, -6.3154683 53.2911841, -6.3153604 53.2912602, -6.3155638 53.2913777, -6.3160593 53.2915427, -6.3164769 53.2916675))",parking,
"POLYGON ((-6.3168759 53.2839531, -6.3173029 53.2839741, -6.3172653 53.2842475, -6.3168382 53.2842265, -6.3168759 53.2839531))",parking,
"POLYGON ((-6.2997385 53.2948623, -6.2997795 53.2946238, -6.2999497 53.2946224, -6.3000208 53.2943984, -6.3003907 53.2943614, -6.3003682 53.2940815, -6.3002153 53.2941079, -6.299719 53.2939663, -6.2992535 53.2944634, -6.2996165 53.2946306, -6.2995214 53.294763, -6.299412 53.2948362, -6.2992906 53.2948742, -6.2993101 53.2948916, -6.2993479 53.2948801, -6.2994502 53.2948745, -6.2995629 53.2948638, -6.2996247 53.2948656, -6.2997385 53.2948623))",parking,
"POLYGON ((-6.3049191 53.2881077, -6.3049295 53.2880476, -6.304396 53.2879703, -6.3043869 53.2880264, -6.3049191 53.2881077))",parking,
"POLYGON ((-6.2982847 53.2894965, -6.2985668 53.2895471, -6.2985754 53.289583, -6.2985659 53.2896111, -6.2985406 53.289686, -6.2985305 53.2897159, -6.2985064 53.2897872, -6.2984843 53.2898525, -6.2984522 53.2899474, -6.2984309 53.2900106, -6.2984037 53.2900909, -6.2983007 53.2904962, -6.2982235 53.2905219, -6.2980058 53.2905054, -6.298055 53.2901939, -6.2981779 53.2897431, -6.2982847 53.2894965))",parking,
"POLYGON ((-6.3031291 53.2840445, -6.3025455 53.284142, -6.3027429 53.2843165, -6.30272 53.2846809, -6.3027171 53.284727, -6.303172 53.2846757, -6.3032549 53.2842619, -6.3031991 53.2842503, -6.303163 53.2842022, -6.3031291 53.2840445))",parking,
"POLYGON ((-6.3222095 53.2534402, -6.3216797 53.2528947, -6.321739 53.252846, -6.3216559 53.2527853, -6.3215498 53.2528143, -6.3210508 53.2523464, -6.3212073 53.2522856, -6.3212825 53.2522334, -6.3214143 53.2523588, -6.3224756 53.2533683, -6.3223318 53.2534071, -6.3222095 53.2534402))",parking,Hell Fire Wood Car Park
