public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
"POLYGON ((-6.3192615 53.3951337, -6.3191298 53.3946892, -6.3191459 53.3945197, -6.3191244 53.3943405, -6.319406 53.3944013, -6.3195053 53.3943837, -6.3205097 53.3945628, -6.3206458 53.39459, -6.3200107 53.3953524, -6.3192615 53.3951337))",social_facility,Clearbrook Nursing Home,Heathfield,,
"POLYGON ((-6.319752 53.3952346, -6.3195643 53.3951722, -6.3195899 53.3951427, -6.3195523 53.3951298, -6.3195522 53.3951504, -6.3193606 53.3951477, -6.319361 53.3950736, -6.3195516 53.3950764, -6.319552 53.3950984, -6.319612 53.3951173, -6.3198701 53.3948203, -6.3198379 53.3948028, -6.3198861 53.394678, -6.319229 53.394558, -6.3192907 53.3944253, -6.3199383 53.3945425, -6.3199687 53.3944774, -6.3200769 53.3944987, -6.3200465 53.3945621, -6.3200685 53.394566, -6.3200793 53.39455, -6.320157 53.3945692, -6.3201812 53.3945405, -6.3203073 53.3945772, -6.3201273 53.3947903, -6.319752 53.3952346))",nursing_home,,,,
"POLYGON ((-6.2719534 53.3661692, -6.2719043 53.3660904, -6.2719698 53.3660758, -6.272014 53.366066, -6.2720632 53.3661448, -6.2720232 53.3661537, -6.2719534 53.3661692))",pharmacy,Stacks Pharmacy,Finglas Road,,Dublin
"POLYGON ((-6.2590239 53.36249, -6.2590738 53.3624265, -6.2593159 53.3624943, -6.2592742 53.3625474, -6.2591572 53.3625147, -6.2591491 53.362525, -6.2590239 53.36249))",pharmacy,Boles Pharmacy,Drumcondra Road Lower,,Dublin
"POLYGON ((-6.2592897 53.3623689, -6.259481 53.3624044, -6.2595181 53.3623575, -6.2592323 53.3622654, -6.2591724 53.3623288, -6.2592897 53.3623689))",pharmacy,Advance Pharmacy,Drumcondra Road Lower,,Dublin
"POLYGON ((-6.2578546 53.3632186, -6.2577351 53.3631758, -6.2576891 53.3632307, -6.2575236 53.3632117, -6.257506 53.3632524, -6.2577599 53.3632814, -6.2577732 53.3632798, -6.2577829 53.3632782, -6.2578032 53.3632735, -6.2578546 53.3632186))",bank,Bank of Ireland,Drumcondra Road Lower,Bank of Ireland,Dublin
"POLYGON ((-6.2989479 53.3690839, -6.2989148 53.3692682, -6.2986743 53.3692528, -6.2986851 53.3691928, -6.2988141 53.3692011, -6.2988222 53.3691563, -6.2987934 53.3691544, -6.2987998 53.3691189, -6.2988286 53.3691208, -6.2988365 53.3690768, -6.2989479 53.3690839))",bank,Cabra Community Credit Union,Kilkieran Road,,Dublin
"POLYGON ((-6.3705619 53.4942973, -6.3706634 53.4942899, -6.3706729 53.4943362, -6.3704015 53.4943559, -6.3703562 53.4941355, -6.3704395 53.4941294, -6.3705262 53.4941231, -6.3705619 53.4942973))",place_of_worship,Donaghmore RCC,,,
"POLYGON ((-6.3453616 53.4633753, -6.3446615 53.4631726, -6.3440473 53.4637969, -6.3446964 53.4640013, -6.3447742 53.4639949, -6.3453616 53.4633753))",school,Kilcoskan National School,,,
"POLYGON ((-6.2969936 53.3900921, -6.296082 53.3899503, -6.2960495 53.3900521, -6.2958419 53.3906198, -6.2958349 53.3907543, -6.296078 53.3908389, -6.2961664 53.390866, -6.2969936 53.3900921))",clinic,,,,
"POLYGON ((-6.3566187 53.3574002, -6.3558891 53.357048, -6.3554117 53.3567055, -6.3555833 53.3563949, -6.3563504 53.3562476, -6.3569566 53.3562316, -6.357434 53.3560363, -6.357713 53.356222, -6.3575682 53.3567535, -6.357477 53.3572145, -6.357316 53.3574386, -6.3571068 53.3574931, -6.3569137 53.3574739, -6.3566187 53.3574002))",social_facility,"St. Louise’s, Glenmaroon",Knockmaroon Hill,,
"POLYGON ((-6.5394498 53.5105263, -6.5394241 53.5107402, -6.5393705 53.5107401, -6.5393572 53.5108542, -6.5391242 53.5108446, -6.5391258 53.510831, -6.5390763 53.510829, -6.5390729 53.5108495, -6.5389377 53.5108498, -6.5388487 53.5108504, -6.5388389 53.5108023, -6.5386971 53.5108053, -6.5386531 53.5107342, -6.5386345 53.5107026, -6.5390213 53.5107159, -6.5390738 53.5106659, -6.5390937 53.5104777, -6.5391416 53.5104791, -6.5391742 53.5105023, -6.5392443 53.5105034, -6.5392805 53.5104826, -6.5393891 53.5104861, -6.5394498 53.5105263))",police,Dunshaughlin Garda Station,Main Street,,Dunshaughlin
"POLYGON ((-6.3238658 53.5535197, -6.3241134 53.5535622, -6.3241975 53.5533894, -6.3240657 53.5533668, -6.3240308 53.553374, -6.3240163 53.5534037, -6.3240494 53.5534094, -6.3240081 53.5534941, -6.3238883 53.5534735, -6.3238658 53.5535197))",kindergarten,,,,
"POLYGON ((-6.2679041 53.3788238, -6.2701141 53.3789697, -6.2702125 53.3784469, -6.2702518 53.3782384, -6.2696622 53.3779894, -6.2693117 53.3782601, -6.2690667 53.3781226, -6.2687959 53.3782726, -6.2685212 53.3783597, -6.2680864 53.3786509, -6.2679041 53.3788238))",school,Glasnevin Educate Together National School,Griffith Avenue,,Dublin
"POLYGON ((-6.5760284 53.4207092, -6.5769779 53.4204438, -6.5761679 53.4199004, -6.5754652 53.4201913, -6.5750736 53.419846, -6.5751004 53.4197533, -6.5750414 53.4196798, -6.5748697 53.419651, -6.574741 53.4196734, -6.5755296 53.4204023, -6.5760284 53.4207092))",school,Stepping Stones School,,,Harristown
"POLYGON ((-6.5744889 53.4192866, -6.574672 53.4192351, -6.5752613 53.4190692, -6.5750253 53.4188166, -6.574285 53.4190212, -6.57433 53.4190798, -6.5744889 53.4192866))",kindergarten,,,,
"POLYGON ((-6.2660239 53.379455, -6.2660552 53.379419, -6.2661767 53.3794572, -6.2661443 53.3794916, -6.2660239 53.379455))",post_office,St. Mobhi Road Post Office,Ballymun Road,An Post,
"POLYGON ((-6.2622087 53.3790554, -6.2622437 53.3791337, -6.2620731 53.3791608, -6.2620545 53.3791192, -6.2619302 53.379139, -6.2619138 53.3791023, -6.262038 53.3790825, -6.2622087 53.3790554))",childcare,Apples,The Rise,,Dublin
"POLYGON ((-6.3788713 53.3987445, -6.3786508 53.3985307, -6.3783311 53.398648, -6.3784618 53.3987747, -6.3786025 53.3987231, -6.3786923 53.3988101, -6.3788713 53.3987445))",childcare,Corduff Childcare,,,
"POLYGON ((-6.4789398 53.4186599, -6.478744 53.4182954, -6.4782049 53.4183433, -6.4780735 53.4183242, -6.4775934 53.4187398, -6.4773278 53.4188533, -6.4773037 53.4189156, -6.4773359 53.4189412, -6.4777838 53.4190835, -6.477923 53.4190676, -6.4780292 53.418863, -6.4781 53.4187681, -6.478238 53.4187048, -6.4785707 53.4187175, -6.4789534 53.4187083, -6.4789398 53.4186599))",school,Saint Peter's National School,Maynooth Road,,
"POLYGON ((-6.4630769 53.5071443, -6.4629204 53.5071577, -6.4629001 53.507069, -6.4630563 53.5070567, -6.4630769 53.5071443))",post_office,Ratoath Post Office,Main Street,An Post,Ratoath
"POLYGON ((-6.6176288 53.5443336, -6.6167176 53.5440595, -6.6170149 53.5437325, -6.6171352 53.5437125, -6.617505 53.5438366, -6.6174891 53.5438471, -6.617928 53.5439922, -6.617797 53.5441442, -6.6177759 53.544165, -6.6176288 53.5443336))",school,Dunsany National School,,,
"POLYGON ((-6.3108437 53.3910544, -6.3109162 53.3909696, -6.3111977 53.3910304, -6.3112353 53.3910176, -6.3112112 53.3908336, -6.3113775 53.390824, -6.3114069 53.39108, -6.311246 53.3911456, -6.3108437 53.3910544))",social_facility,,,,
"POLYGON ((-6.5926047 53.3807824, -6.5927033 53.380753, -6.5927649 53.3807382, -6.5927937 53.3807751, -6.5928352 53.3808284, -6.5928727 53.3808789, -6.5927286 53.3809226, -6.592584 53.3809663, -6.5924577 53.3808246, -6.5926047 53.3807824))",police,Maynooth Garda Station,Parson Street,,Maynooth
"POLYGON ((-6.5231429 53.3649769, -6.5236719 53.3649743, -6.5236967 53.36509, -6.5235683 53.365087, -6.5235655 53.3651276, -6.5233343 53.3651096, -6.523317 53.3651296, -6.5231272 53.3651584, -6.5231429 53.3649769))",childcare,Little Harvard Beech Park,,,Leixlip
"POLYGON ((-6.492709 53.3660465, -6.4925609 53.3660922, -6.4924588 53.3659742, -6.4926069 53.3659286, -6.492709 53.3660465))",childcare,,Ryevale Lawns,,
"POLYGON ((-6.4904092 53.3637653, -6.490328 53.3637826, -6.490338 53.3637993, -6.4903648 53.3638416, -6.4903857 53.3638778, -6.4904091 53.3639181, -6.4904786 53.3639036, -6.4904916 53.3639012, -6.4904473 53.3638246, -6.4904092 53.3637653))",pharmacy,,,,
"POLYGON ((-6.490338 53.3637993, -6.4901942 53.3638344, -6.4902364 53.3638971, -6.4902464 53.363912, -6.4903134 53.3640114, -6.4905161 53.3639632, -6.4904786 53.3639036, -6.4904091 53.3639181, -6.4903857 53.3638778, -6.4903648 53.3638416, -6.490338 53.3637993))",bank,,,,
"POLYGON ((-6.5166413 53.3642146, -6.5164862 53.3642061, -6.5165078 53.3640651, -6.5166579 53.3640733, -6.5166483 53.3641356, -6.5167536 53.3641414, -6.516745 53.3641975, -6.5166448 53.364192, -6.5166413 53.3642146))",childcare,,,,
"POLYGON ((-6.498231 53.3668181, -6.4981456 53.3668412, -6.4982398 53.3669651, -6.4984793 53.3669003, -6.4983361 53.366712, -6.4982188 53.3667438, -6.4983131 53.3668678, -6.4982764 53.3668777, -6.498231 53.3668181))",childcare,Little Harvard ECCE Club & Sessional Montessori,Green Lane,,
"POLYGON ((-6.4989859 53.3667496, -6.4988798 53.3667801, -6.4988319 53.3667207, -6.4988013 53.3667294, -6.4987325 53.3666442, -6.4988692 53.3666049, -6.4989859 53.3667496))",childcare,Little Harvard After School Club,Green Lane,,Leixlip
"POLYGON ((-6.4907735 53.3632847, -6.4907167 53.3632858, -6.4905462 53.3632888, -6.490549 53.3633427, -6.490516 53.3633433, -6.4905174 53.3633682, -6.4904644 53.3633692, -6.4904631 53.3633441, -6.4904306 53.3633447, -6.4904271 53.3632903, -6.4902727 53.3632932, -6.4902672 53.3631892, -6.4907106 53.3631809, -6.490712 53.3632025, -6.4907688 53.3632014, -6.4907735 53.3632847))",place_of_worship,Saint Mary's,Main Street,,Leixlip
"POLYGON ((-6.4895803 53.3688224, -6.4891262 53.3689259, -6.4890384 53.3687888, -6.4894926 53.3686853, -6.4895803 53.3688224))",social_facility,,,,
"POLYGON ((-6.48921 53.3687133, -6.4890109 53.3687621, -6.4887673 53.3684081, -6.4888631 53.3683846, -6.4889081 53.36845, -6.4890114 53.3684247, -6.48921 53.3687133))",social_facility,,,,
"POLYGON ((-6.4894889 53.3685796, -6.4892347 53.3686298, -6.489191 53.3685511, -6.4894451 53.3685008, -6.4894889 53.3685796))",social_facility,,,,
"POLYGON ((-6.4892715 53.3685094, -6.4891259 53.3685389, -6.4890781 53.3684552, -6.4892237 53.3684256, -6.4892715 53.3685094))",social_facility,,,,
"POLYGON ((-6.4894092 53.368363, -6.489082 53.368428, -6.4890268 53.3683289, -6.4893539 53.368264, -6.4894092 53.368363))",social_facility,,,,
"POLYGON ((-6.4896554 53.3682041, -6.4894557 53.368205, -6.4891115 53.3682033, -6.4891104 53.3682942, -6.4888031 53.3682928, -6.4888053 53.368118, -6.4889558 53.3681187, -6.4889604 53.3679192, -6.4888151 53.3679182, -6.4888171 53.3678124, -6.4889624 53.3678134, -6.4889584 53.3677534, -6.4889579 53.3676427, -6.4896435 53.3676417, -6.4896465 53.3676805, -6.4896443 53.3677583, -6.4896517 53.3677876, -6.490043 53.3677859, -6.4900451 53.3679608, -6.4896525 53.3679625, -6.4896541 53.3680941, -6.4896554 53.3682041))",social_facility,,,,
"POLYGON ((-6.3113821 53.3680678, -6.3118729 53.367068, -6.3125166 53.3667383, -6.3126817 53.3664978, -6.3132881 53.3667459, -6.3128777 53.3672452, -6.3128302 53.367424, -6.3125284 53.3682085, -6.3113821 53.3680678))",social_facility,Assisi House Nursing Home,,,
"POLYGON ((-6.309387 53.3688922, -6.3103151 53.368617, -6.3104353 53.3685756, -6.3105318 53.36851, -6.3105801 53.3684252, -6.3106579 53.3683883, -6.3107839 53.3683739, -6.3109824 53.3681867, -6.3110983 53.3679881, -6.3113982 53.3673705, -6.3101983 53.3671196, -6.3099343 53.3672727, -6.3097009 53.3675047, -6.3095049 53.3679066, -6.3090577 53.3680221, -6.30918 53.3681962, -6.3091892 53.3682521, -6.3086567 53.368501, -6.309387 53.3688922))",social_facility,Santa Sabina House,,,
"POLYGON ((-6.3078603 53.3649106, -6.3073552 53.3647354, -6.3072977 53.3647943, -6.3069436 53.3646807, -6.3066224 53.3645992, -6.306609 53.3646157, -6.3064321 53.3648286, -6.3069976 53.3650384, -6.3076291 53.3652423, -6.3078743 53.3650744, -6.3078925 53.3649794, -6.3078603 53.3649106))",police,Cabra Garda Station,Navan Road,,Dublin
"POLYGON ((-6.4866053 53.3693686, -6.4865491 53.3694353, -6.4866906 53.3694777, -6.4868611 53.3694327, -6.4869346 53.3691802, -6.4868148 53.3691678, -6.4867524 53.3693819, -6.4866953 53.3693956, -6.4866053 53.3693686))",childcare,Little Harvard Crèche and Montessori,Captain's Hill,,
"POLYGON ((-6.4117387 53.5114074, -6.4114436 53.5113328, -6.4114554 53.5113116, -6.4113958 53.5113001, -6.4112629 53.5112743, -6.4112557 53.5112962, -6.4101857 53.5111019, -6.4100489 53.5110238, -6.4099926 53.5109105, -6.4100342 53.5108085, -6.410132 53.5107814, -6.4102165 53.5107311, -6.4102582 53.510678, -6.4103198 53.5105997, -6.410541 53.5106426, -6.4108092 53.5106083, -6.4111815 53.5105631, -6.4115428 53.5105293, -6.41163 53.5105274, -6.4116268 53.5105146, -6.4116251 53.5105081, -6.4131897 53.5103866, -6.4130758 53.5106035, -6.4122067 53.5115286, -6.4121182 53.5114999, -6.4120646 53.5114432, -6.4120525 53.5113922, -6.4120012 53.511379, -6.4119586 53.5113699, -6.4118634 53.511401, -6.4117387 53.5114074))",school,Ashbourne Educate Together National School,,,Ashbourne
"POLYGON ((-6.4131407 53.5120208, -6.4141853 53.5113484, -6.4150812 53.5102781, -6.4157061 53.5107502, -6.4165644 53.5114903, -6.4175059 53.512275, -6.4154647 53.5130087, -6.4144401 53.5126754, -6.4136139 53.5124316, -6.4134674 53.512339, -6.4131407 53.5120208))",school,Coláiste de Lacy,,,Ashbourne
"POLYGON ((-6.4122067 53.5115286, -6.4121311 53.5115953, -6.4120275 53.5117039, -6.4123615 53.5118264, -6.4131407 53.5120208, -6.4141853 53.5113484, -6.4150812 53.5102781, -6.4137866 53.5103822, -6.4136335 53.5103649, -6.4134444 53.5103685, -6.4131897 53.5103866, -6.4130758 53.5106035, -6.4122067 53.5115286))",school,Gaelscoil Na Mí,,,Ashbourne
"POLYGON ((-6.548927 53.361172, -6.5487558 53.3610525, -6.5479432 53.3604717, -6.5474303 53.3601252, -6.5496491 53.3583101, -6.5505163 53.3587307, -6.5507786 53.3588216, -6.5504098 53.3590986, -6.5503448 53.3591474, -6.549795 53.3595603, -6.5493163 53.3599205, -6.5501213 53.3602939, -6.5498335 53.3605305, -6.548927 53.361172))",school,Celbridge Community School,,,
"POLYGON ((-6.2768205 53.3824028, -6.2766932 53.3823993, -6.2767024 53.3822798, -6.2767875 53.3822822, -6.2767848 53.3823166, -6.2768271 53.3823177, -6.2768205 53.3824028))",pharmacy,Lloyds Pharmacy,Fitzmaurice Avenue,Lloyds Pharmacy,
"POLYGON ((-6.2754085 53.3818002, -6.2743069 53.3819285, -6.2741394 53.3826185, -6.2742086 53.3831744, -6.2743901 53.3831407, -6.2754568 53.3829425, -6.2754085 53.3818002))",social_facility,Seanchara Nursing Home,Cremore Heights,,Dublin
"POLYGON ((-6.2755667 53.3835328, -6.2743803 53.3837664, -6.27423 53.3835294, -6.2742086 53.3831744, -6.2743901 53.3831407, -6.2754568 53.3829425, -6.2755667 53.3835328))",social_facility,Clarehaven Nursing Home,Cremore Heights,,Dublin
"POLYGON ((-6.2871994 53.3852286, -6.2885213 53.3859954, -6.2881083 53.3863089, -6.287883 53.3866481, -6.2874066 53.3874436, -6.2868278 53.3873094, -6.2868341 53.3872852, -6.2852094 53.3869362, -6.2852253 53.386882, -6.2854828 53.3863906, -6.2856115 53.3862831, -6.2871994 53.3852286))",school,,,,
"POLYGON ((-6.2771475 53.3826841, -6.2772796 53.3826846, -6.2772775 53.3827601, -6.2772583 53.3827599, -6.2772572 53.3828019, -6.2771437 53.382865, -6.2771459 53.382762, -6.2771475 53.3826841))",pharmacy,McAleer's Pharmacy,Fitzmaurice Avenue,,
"POLYGON ((-6.5393806 53.510448, -6.5390968 53.5104407, -6.5390981 53.5104095, -6.5389909 53.5104067, -6.5386115 53.5103951, -6.5386162 53.510216, -6.5394591 53.5102313, -6.5394574 53.5102724, -6.5394559 53.5103053, -6.5394523 53.5103556, -6.5394467 53.5104506, -6.5393806 53.510448))",fire_station,Dunshaughlin Fire Station,Main Street,,Dunshaughlin
"POLYGON ((-6.3118002 53.3954043, -6.3115844 53.3953527, -6.3116471 53.3952595, -6.3118629 53.3953111, -6.3118002 53.3954043))",pharmacy,Cappagh Pharmacy,Barry Road,,
"POLYGON ((-6.3113478 53.3896164, -6.311327 53.3897314, -6.3111575 53.3897209, -6.3111639 53.3896767, -6.3109836 53.3896658, -6.3109939 53.3895949, -6.3111742 53.3896059, -6.3113478 53.3896164))",pharmacy,Hickey's,Cardiffsbridge Road,,Dublin
"POLYGON ((-6.285416 53.3931965, -6.2855412 53.393198, -6.2855384 53.3932854, -6.2854131 53.393284, -6.285416 53.3931965))",pharmacy,Crescent Pharmacy,Willow Park Crescent,,
"POLYGON ((-6.2857049 53.3932143, -6.2858172 53.3932245, -6.2857628 53.3934264, -6.2856821 53.3934187, -6.2856781 53.3934332, -6.2855469 53.3934207, -6.2855467 53.3934315, -6.2854486 53.3934304, -6.285452 53.3933745, -6.2855174 53.393375, -6.2855226 53.3933559, -6.2855928 53.3933626, -6.2856037 53.3933223, -6.2856735 53.393329, -6.2856809 53.3932995, -6.2857049 53.3932143))",doctors,Willow Medical Centre,Willow Park Crescent,,Dublin
"POLYGON ((-6.2634615 53.4030926, -6.2631412 53.4030249, -6.2631443 53.40294, -6.2626743 53.4029268, -6.2625865 53.4027523, -6.263126 53.4027638, -6.263129 53.4026411, -6.2634657 53.4026049, -6.2634615 53.4030926))",nursing_home,Northwood Nursing Home,Old Ballymun Road,,
"POLYGON ((-6.2892383 53.3645823, -6.2891251 53.3647512, -6.2889813 53.3647168, -6.2889671 53.3647381, -6.2887354 53.3646828, -6.2888628 53.3644926, -6.2892383 53.3645823))",clinic,Cabra Health Centre,Quarry Road,,Dublin
"POLYGON ((-6.2868485 53.3648382, -6.2868755 53.3647835, -6.2868071 53.3647715, -6.2867802 53.3648262, -6.2868485 53.3648382))",post_office,Cabra Post Office,Fassaugh Road,,Dublin
"POLYGON ((-6.2686781 53.3724243, -6.2687372 53.3723597, -6.2686465 53.3723301, -6.2686268 53.3723516, -6.2684399 53.3722906, -6.2684004 53.3723337, -6.2684917 53.3723635, -6.2686781 53.3724243))",veterinary,Botanic Veterinary Hospital,Botanic Road,,Dublin
"POLYGON ((-6.267896 53.3723241, -6.2678466 53.3723631, -6.2678175 53.3723817, -6.2677531 53.3724238, -6.2676735 53.372415, -6.2676371 53.372398, -6.2676891 53.3723583, -6.267639 53.372335, -6.2677415 53.3722567, -6.2677964 53.3722823, -6.2677449 53.3723216, -6.2677833 53.3723395, -6.2678236 53.3723087, -6.2678435 53.372318, -6.2678584 53.3723066, -6.267896 53.3723241))",clinic,Glasnevin Health Centre,Botanic Avenue,,
"POLYGON ((-6.4768406 53.4198994, -6.4768608 53.4198905, -6.4769 53.4199252, -6.4771018 53.4198365, -6.4769516 53.419719, -6.476896 53.4197458, -6.4768807 53.4197335, -6.4767217 53.4198038, -6.4768406 53.4198994))",bank,Bank of Ireland,,Bank of Ireland,
"POLYGON ((-6.2715334 53.3653034, -6.271516 53.3653621, -6.2713868 53.3653545, -6.2713915 53.3653282, -6.2712625 53.36532, -6.2712686 53.3652856, -6.2714079 53.3652939, -6.2715334 53.3653034))",doctors,Prospect Medical Centre,Prospect Road,,Dublin
"POLYGON ((-6.3111217 53.3638142, -6.3110387 53.3638701, -6.310972 53.3638349, -6.3110154 53.3638057, -6.3109646 53.3637788, -6.3108841 53.3638331, -6.3107865 53.3637815, -6.3109066 53.3637006, -6.3111217 53.3638142))",kindergarten,Mother Hubbard's Childcare,,,
"POLYGON ((-6.2767694 53.3615315, -6.2766581 53.3615208, -6.276137 53.3614785, -6.2759484 53.3614642, -6.275922 53.3615516, -6.2760476 53.3615614, -6.2760305 53.3616365, -6.2761661 53.3616475, -6.2761374 53.3617824, -6.2761019 53.3617795, -6.2760603 53.3619619, -6.2762025 53.3619734, -6.2762151 53.3619183, -6.2763215 53.3619314, -6.2766605 53.3619572, -6.2767694 53.3615315))",school,,,,
"POLYGON ((-6.2866266 53.3607484, -6.2866204 53.3608041, -6.2865777 53.3608024, -6.2863269 53.3607923, -6.2863331 53.3607367, -6.2866266 53.3607484))",bank,Cabra Credit Union,Annamoe Terrace,,
"POLYGON ((-6.6065738 53.4900637, -6.6068488 53.4897176, -6.607048 53.4894903, -6.6067919 53.489408, -6.6070561 53.4890899, -6.6063161 53.4889015, -6.605785 53.4894202, -6.6055436 53.489792, -6.6056082 53.4898212, -6.6065738 53.4900637))",school,,,,
"POLYGON ((-6.2718748 53.3608356, -6.2718676 53.3608711, -6.2718605 53.3609064, -6.2718446 53.3609845, -6.2717065 53.3609746, -6.2717223 53.3608969, -6.2716488 53.3608916, -6.2716335 53.3609669, -6.2715842 53.3609634, -6.2716139 53.3608167, -6.2717465 53.3608263, -6.2718254 53.360832, -6.2718748 53.3608356))",bank,,North Circular Road,,
"POLYGON ((-6.2992741 53.3675149, -6.2992019 53.3675119, -6.299211 53.3674275, -6.2992832 53.3674303, -6.2992741 53.3675149))",post_office,Fassaugh Avenue Post Office,Fassaugh Avenue,An Post,Dublin
"POLYGON ((-6.2929882 53.3669923, -6.2929141 53.3669823, -6.2928874 53.3670528, -6.2929616 53.3670628, -6.2929882 53.3669923))",doctors,Village Medical,Fassaugh Avenue,,Dublin
"POLYGON ((-6.2930631 53.3670854, -6.293045 53.3671319, -6.2929895 53.3671242, -6.2929773 53.3671555, -6.2928536 53.3671383, -6.2928874 53.3670528, -6.2929616 53.3670628, -6.2929882 53.3669923, -6.2930942 53.3670055, -6.2930631 53.3670854))",pharmacy,Pelly's Pharmacy,Fassaugh Avenue,,Dublin
"POLYGON ((-6.2982717 53.3523014, -6.2982011 53.3522609, -6.2982497 53.3522329, -6.2982853 53.3522549, -6.2982717 53.3523014))",veterinary,Cara Veterinary Practice,,,
"POLYGON ((-6.2831424 53.3613863, -6.2831421 53.361438, -6.2829738 53.3614376, -6.2829742 53.3613871, -6.2831424 53.3613863))",social_facility,Cabra Resource Centre,Dowth Avenue,,Dublin
"POLYGON ((-6.2987593 53.3633352, -6.2988885 53.3635519, -6.2990831 53.3638633, -6.2991582 53.3639017, -6.2992039 53.3639841, -6.2991904 53.3640105, -6.2993165 53.364097, -6.2995338 53.3644363, -6.3002202 53.3648176, -6.3003325 53.3647863, -6.302104 53.3642507, -6.3021717 53.3641868, -6.3021251 53.3641313, -6.3019268 53.3638954, -6.3019719 53.363814, -6.3022688 53.3635903, -6.3027107 53.3632446, -6.3027694 53.363189, -6.302349 53.3630313, -6.3019502 53.3628955, -6.3018047 53.3629982, -6.3016078 53.3630787, -6.3012931 53.3631657, -6.3010093 53.3632506, -6.3003982 53.3634206, -6.2998733 53.3629348, -6.2987593 53.3633352))",social_facility,Deaf Village Ireland,Ratoath Road,,Dublin
"POLYGON ((-6.2897832 53.364739, -6.2892981 53.3645869, -6.2891117 53.3647678, -6.2886409 53.3646662, -6.2886692 53.3647769, -6.288712 53.364871, -6.2887992 53.3649863, -6.2888823 53.3650703, -6.2889651 53.3651424, -6.2897832 53.364739))",school,Gaelscoil Bharra,Fassaugh Road,,Dublin
"POLYGON ((-6.2904282 53.3541467, -6.2899664 53.3539587, -6.290008 53.3539362, -6.2901686 53.3538306, -6.2901866 53.3538404, -6.2905316 53.3536137, -6.2905396 53.353618, -6.2906026 53.3535766, -6.2909657 53.3537734, -6.2908822 53.3538283, -6.2904282 53.3541467))",school,St. Gabriel's National School,,,
"POLYGON ((-6.5556007 53.5755793, -6.555557 53.5755899, -6.5555972 53.5756565, -6.5563935 53.5754579, -6.5567219 53.575376, -6.5567378 53.5753168, -6.5573132 53.5751808, -6.5572992 53.5751548, -6.5574235 53.5751272, -6.5572478 53.5745489, -6.5571541 53.5742927, -6.5570728 53.5740869, -6.5560116 53.5743194, -6.5561567 53.5749189, -6.5554355 53.5750773, -6.5556007 53.5755793))",school,,,,
"POLYGON ((-6.2997235 53.3812837, -6.3005732 53.3813001, -6.3009179 53.3813068, -6.3009423 53.3809371, -6.3009485 53.3808431, -6.3003534 53.3808483, -6.3003197 53.3807587, -6.300061 53.3807558, -6.3000375 53.3806907, -6.2997473 53.3806684, -6.2997235 53.3812837))",school,St. Oliver Plunkett's School,Saint Helena's Drive,,Dublin
"POLYGON ((-6.3108228 53.3809098, -6.3107047 53.3797398, -6.3106886 53.3795766, -6.3107583 53.3794614, -6.310865 53.3794454, -6.3110259 53.3794118, -6.3112405 53.3794342, -6.3124046 53.3796182, -6.3129625 53.3797206, -6.3130262 53.3797057, -6.3130127 53.3799975, -6.3129065 53.3805331, -6.3129041 53.3808952, -6.3108228 53.3809098))",school,St. Finian's National School,,,
"POLYGON ((-6.3234805 53.370495, -6.3234376 53.370482, -6.3233842 53.3705447, -6.323427 53.3705577, -6.3234805 53.370495))",post_office,Ashtown Post Office,Kinvara Park,,Dublin
"POLYGON ((-6.2585614 53.3579531, -6.2588144 53.3578656, -6.2591402 53.3577517, -6.2593386 53.3579417, -6.259096 53.3580288, -6.2589616 53.3580686, -6.258874 53.3580989, -6.2588371 53.3580987, -6.2587366 53.3581335, -6.2585614 53.3579531))",school,Gardiner Street School,Belvidere Court,,Dublin
"POLYGON ((-6.2613454 53.3563992, -6.2611147 53.3562295, -6.2610933 53.3562431, -6.2610544 53.3562063, -6.261214 53.3561399, -6.261446 53.3563096, -6.2614594 53.3563, -6.2615989 53.3563872, -6.2615546 53.3564112, -6.2614621 53.356344, -6.2613454 53.3563992))",social_facility,,Temple Street North,,Dublin
"POLYGON ((-6.2977806 53.3879255, -6.2978498 53.3880519, -6.2977388 53.3880741, -6.2977034 53.3880111, -6.2975606 53.3880396, -6.2975318 53.387987, -6.2975934 53.387974, -6.2975879 53.3879641, -6.2976691 53.3879478, -6.2977806 53.3879255))",clinic,,Main Street,,
"POLYGON ((-6.2978498 53.3880519, -6.2978852 53.3881149, -6.2977742 53.3881371, -6.2977388 53.3880741, -6.2978498 53.3880519))",pharmacy,Lloyds Pharmacy,Main Street,Lloyds Pharmacy,
"POLYGON ((-6.4461699 53.3590906, -6.4460711 53.359103, -6.4461083 53.3592075, -6.4462065 53.3591952, -6.4461898 53.3591474, -6.4461699 53.3590906))",bank,,,,
"POLYGON ((-6.2983545 53.3881186, -6.2984401 53.3880937, -6.2984831 53.3881465, -6.2983975 53.3881714, -6.2984094 53.388186, -6.2982668 53.3882274, -6.2982375 53.3881914, -6.2982994 53.3881735, -6.2982738 53.388142, -6.2983545 53.3881186))",pharmacy,Hickey's,,,
"POLYGON ((-6.2983822 53.3888743, -6.2982249 53.388982, -6.2981411 53.3889414, -6.2982824 53.3888224, -6.2983822 53.3888743))",bank,EBS,,,
"POLYGON ((-6.2760643 53.3997439, -6.2762269 53.3996595, -6.2763713 53.3997583, -6.2762087 53.3998428, -6.2760643 53.3997439))",pharmacy,,Balbutcher Lane,,
