public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.315607 53.3195232),bank,St Agnes Credit Union Limited,Saint Agnes Road,,
POINT (-6.3156887 53.3197026),pharmacy,Lloyds Pharmacy,Saint Agnes Road,Lloyds Pharmacy,
POINT (-6.3161765 53.3201522),bank,EBS,Saint Agnes Road,EBS,
POINT (-6.3169535 53.3205909),pharmacy,Crumlin Village Pharmacy,Lisle Road,,
POINT (-6.3173585 53.3209223),pharmacy,Moores Pharmacy,Saint Agnes Road,,
POINT (-6.3174724 53.3209907),post_office,Crumlin Post Office,Saint Agnes Road,An Post,Dublin
POINT (-6.3207309 53.3207607),childcare,Ups a Daisy Childcare,Somerville Park,,
POINT (-6.3168318 53.3210633),childcare,Chestnut Daycare,Innismore,,Dublin
POINT (-6.2595491 53.3326132),kindergarten,Kidds Care,Adelaide Road,,Dublin
POINT (-6.2794651 53.3210936),doctors,Harolds Cross Surgery,Harold's Cross Road,,Dublin
POINT (-6.2782908 53.3244619),kindergarten,,Harold's Cross Road,,Dublin
POINT (-6.2774597 53.3269161),post_office,Harold's Cross Post Office,Harold's Cross Road,An Post,
POINT (-6.2765265 53.3268746),kindergarten,St. Clare's Pre-School & After School Care,Harold's Cross Road,,Dublin
POINT (-6.3337806 53.3166697),bank,Ulster Bank,,Ulster Bank,
POINT (-6.260767 53.3483554),place_of_worship,ISKCON Dublin,Middle Abbey Street,,
POINT (-6.2727937 53.3126367),childcare,Daoine Beaga,Rathgar Road,,Dublin
POINT (-6.2654298 53.3210807),pharmacy,Deveneys Pharmacy,Rathmines Road Upper,,
POINT (-6.2652436 53.3209353),doctors,Rathmines Clinic,Rathmines Road Upper,,Dublin
POINT (-6.2598443 53.3475833),school,School of English & Business Studies,Bachelors Walk,,Dublin
POINT (-6.263093 53.3273544),childcare,Rathmines Community Playgroup,Richmond Hill,,Dublin
POINT (-6.3215445 53.3252617),doctors,Crumlin Medical Centre,Errigal Road,,Dublin
POINT (-6.3215703 53.3236372),childcare,Little Scholars,Saint Mary's Drive,,
POINT (-6.2885673 53.3433014),pharmacy,Pharmacy Express,James Street,,
POINT (-6.2781269 53.3426738),pharmacy,Thomas St. Pharmacy,Thomas Street,,Dublin
POINT (-6.2692579 53.3436479),social_facility,Coolmine Therapeutic Community,Lord Edward Street,,Dublin
POINT (-6.2813298 53.3180118),childcare,Little Leapers,Kenilworth Manor,,
POINT (-6.2828977 53.3138192),childcare,Snowdrop Creche,Terenure Road North,,Dublin
POINT (-6.2836814 53.3119833),social_facility,Merrick House,Eaton Road,,
POINT (-6.2824247 53.3102332),doctors,Terenure Medical,Terenure Road East,,
POINT (-6.2827193 53.3111165),doctors,Doctors Walk-in Clinic,Rathmore Villas,,Dublin
POINT (-6.2829003 53.3108386),pharmacy,Hickey's Pharmacy,Terenure Road North,,
POINT (-6.2835422 53.3102793),post_office,Terenure Post Office,Terenure Road North,An Post,Dublin
POINT (-6.285104 53.3091377),veterinary,Patrick Condron,,,
POINT (-6.2784629 53.3142581),childcare,Brighton Day Care Nursery and Montessori School,Brighton Road,,Dublin
POINT (-6.2797604 53.3144869),childcare,Highfield Montessori School,Brighton Square,,Dublin
POINT (-6.2817326 53.3434105),bank,Meath Street Credit Union,Thomas Street,,Dublin
POINT (-6.2651842 53.3196206),childcare,Bumbles Creche & Montessori,Rathmines Road Upper,,Dublin
POINT (-6.2747234 53.3323945),doctors,SCR Surgery,South Circular Road,,Dublin
POINT (-6.2922318 53.3429545),bank,Health Services Staffs Credit Union,James Street,,Dublin
POINT (-6.2941718 53.3424916),post_office,James Street Post Office,,An Post,
POINT (-6.2594954 53.3453875),bank,Fexco,Westmoreland Street,,
POINT (-6.2645828 53.3456883),doctors,Temple Bar Medical Centre,Wellington Quay,,Dublin
POINT (-6.2713004 53.3192415),childcare,Kids Inc,Grosvenor Road,,Dublin
POINT (-6.2592881 53.3430767),bank,Bank of Ireland,Grafton Street,Bank of Ireland,Dublin
POINT (-6.4131005 53.3206475),pharmacy,,,,
