rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.2649966 53.3352526),restaurant,Green Nineteen,Camden Street Lower,Dublin
POINT (-6.2641191 53.3410955),bar,Bartley’s Bar,Stephen Street Lower,Dublin
POINT (-6.2638694 53.3431091),pub,The Exchequer,Exchequer Street,Dublin
POINT (-6.2617022 53.3400902),pub,Sinnott’s,King Street South,Dublin
POINT (-6.2642908 53.3412009),pub,P. Mac’s,Stephen Street Lower,Dublin
POINT (-6.297985 53.336171),pub,The Circular,South Circular Road,Dublin
POINT (-6.2905632 53.3434972),pub,Guinan’s,James Street,Dublin
POINT (-6.2662912 53.3438383),restaurant,Chez Max,Palace Street,Dublin
POINT (-6.2746953 53.3503544),pub,Bonobo,Church Street Upper,Dublin
POINT (-6.319564 53.3393202),restaurant,,Emmet Road,Dublin
POINT (-6.2628403 53.334454),nightclub,D-Two,Harcourt Street,
POINT (-6.2618948 53.3333672),restaurant,Morton's The Steakhouse,,
POINT (-6.2628658 53.3342249),cafe,Café Sol,Harcourt Street,
POINT (-6.2629302 53.3344059),pub,D-Two,Harcourt Street,
POINT (-6.2646383 53.3337802),restaurant,Bad Egg,Charlotte Way,
POINT (-6.2642218 53.3334025),restaurant,The Iveagh Restaurant,,
POINT (-6.2647717 53.3331138),bar,C Central,,
POINT (-6.2643592 53.3312041),restaurant,Tandoori Bite,,
POINT (-6.2642006 53.3306454),pub,J. O'Connell,Richmond Street South,Dublin
POINT (-6.2641442 53.3304003),nightclub,Rain,Richmond Street South,
POINT (-6.2641682 53.3305321),restaurant,Rotana Café,Richmond Street South,
POINT (-6.2641769 53.330586),restaurant,One Bistro,Richmond Street South,
POINT (-6.279741 53.331491),cafe,Noshington Cafe,South Circular Road,
POINT (-6.459944 53.352575),cafe,Waiting Cafe,,
POINT (-6.2924467 53.3467462),pub,The Galway Hooker,Saint John's Road West,Dublin
POINT (-6.2927892 53.3464233),cafe,Butlers Chocolate Cafe,,
POINT (-6.2924767 53.3466088),cafe,Insomnia,,
POINT (-6.4232768 53.2821485),cafe,The Streat,,
POINT (-6.273661 53.3323532),cafe,Little Bird - Café,South Circular Road,
POINT (-6.274991 53.332358),cafe,Café Delice,Clanbrassil Street Lower,Dublin
POINT (-6.2674716 53.344205),restaurant,Fiorentina,Parliament Street,Dublin
POINT (-6.2636765 53.3365769),cafe,Meltdown,Montague Street,
POINT (-6.2646128 53.3365683),restaurant,Gerry's,Montague Street,
POINT (-6.266031 53.3375179),cafe,Goose on the Loose,Kevin Street Lower,Dublin
POINT (-6.2830015 53.3106643),cafe,Spoon,,
POINT (-6.2641927 53.3428831),restaurant,Taste at Rustic,,
POINT (-6.2927681 53.3322249),pub,The Barn House,,Dublin
POINT (-6.3663674 53.287319),bar,Level 4 Nightclub,Abberly Square South,Tallaght
POINT (-6.2904031 53.3338011),cafe,Village Cafe,,
POINT (-6.2623045 53.342172),bar,Pygmalion,,Dublin
POINT (-6.2666489 53.3375067),cafe,Toasted,Kevin Street Lower,Dublin
POINT (-6.2659032 53.3374409),pub,The Landmark,Wexford Street,Dublin
POINT (-6.2640325 53.3424255),restaurant,Urban Picnic,,
POINT (-6.2606005 53.3400552),cafe,Butlers Chocolate Café,Grafton Street,
POINT (-6.2651445 53.3242854),pub,The Bowery,Rathmines Road Lower,Dublin
POINT (-6.265134 53.324336),cafe,The Carrot's Tail,Rathmines Road Lower,
POINT (-6.3672745 53.3074073),pub,The Kingswood Lodge,,
POINT (-6.282328 53.3141947),restaurant,Mayfield Restaurant,Terenure Road North,
POINT (-6.275613 53.3304221),pub,MVP,Clanbrassil Street Upper,Dublin
POINT (-6.2752027 53.3300206),pub,The Harold House,Clanbrassil Street Upper,
POINT (-6.3902963 53.3529832),cafe,Zumo,,
