,,,,,,A,B
kindergarten,,,post_box,,,,
healthcare:speciality,,,pub,,,,
old_name_1,,,atm,,,,
drink:beer,,,post_box,,,,
delivery:covid19,,,post_box,,,,
access:covid19,,,fast_food,,,,
drive_through:covid19,,,parking,,,,
takeaway:covid19,,,parking,,,,
school,,,parking_entrance,,,,
bic,,,parking,,,,
wikipedia,,,pub,,,,
diet:gluten_free,,,pub,,,,
payment:notes,,,fuel,,,,
door,,,pharmacy,,,,
seats,,,recycling,,,,
cinema:3D,,,pub,,,,
screen,,,recycling,,,,
old_name:2018,,,atm,,,,
contact:pinterest,,,post_box,,,,
biergarten,,,bicycle_parking,,,,
post:postcode,,,restaurant,,,,
check_date:capacity,,,fast_food,,,,
old_name:2010,,,post_office,,,,
old_name:2019,,,atm,,,,
ferry,,,post_box,,,,
public_transport,,,pub,,,,
seating,,,drinking_water,,,,
recycling:books,,,post_box,,,,
recycling:cartons,,,atm,,,,
recycling:green_waste,,,post_box,,,,
recycling:magazines,,,social_facility,,,,
recycling:waste,,,atm,,,,
recycling:wood,,,events_venue,,,,
bar,,,bicycle_parking,,,,
old_name:19??-2018,,,pub,,,,
recycling:glass_jars,,,pub,,,,
cargo,,,fast_food,,,,
cuisine_1,,,bank,,,,
building,,,pub,,,,
old_name:2011-2013,,,pharmacy,,,,
old_name_2,,,restaurant,,,,
drinking_water,,,post_box,,,,
toilets,,,post_box,,,,
waste,,,bicycle_parking,,,,
socket:type2,,,bicycle_parking,,,,
socket:type2:output,,,cafe,,,,
old_name:en,,,cafe,,,,
old_name:ga,,,post_box,,,,
changing_table,,,kindergarten,,,,
payment:cards,,,bank,,,,
toilets:handwashing,,,bank,,,,
toilets:paper_supplied,,,atm,,,,
toilets:position,,,parking,,,,
subject:wikipedia,,,pub,,,,
supervised,,,childcare,,,,
toilets:disposal,,,atm,,,,
contact:tiktok,,,atm,,,,
dine_in,,,parking_entrance,,,,
parking_space,,,toilets,,,,
name:pl,,,post_box,,,,
year_built,,,pharmacy,,,,
bus,,,post_box,,,,
maxstay,,,parking,,,,
inscription,,,fountain,,,,
community_centre:for,,,post_box,,,,
lgbtq,,,post_box,,,,
music,,,post_office,,,,
college,,,atm,,,,
date,,,atm,,,,
faces,,,atm,,,,
visibility,,,atm,,,,
name:zh,,,parking,,,,
preschool,,,pub,,,,
organic,,,parking_entrance,,,,
electricity,,,pub,,,,
pub,,,atm,,,,
emergency,,,pub,,,,
brand:facebook,,,post_box,,,,
brand:instagram,,,fuel,,,,
brand:twitter,,,restaurant,,,,
brand:youtube,,,post_box,,,,
wifi:free,,,atm,,,,
wifi,,,atm,,,,
payment:electronic_purses,,,atm,,,,
unisex,,,post_box,,,,
socket:chademo,,,pub,,,,
socket:chademo:output,,,post_box,,,,
recycling:beverage_cartons,,,atm,,,,
recycling:fluorescent_tubes,,,atm,,,,
recycling:fridge_and_freezer,,,post_box,,,,
recycling:light_bulbs,,,atm,,,,
recycling:low_energy_bulbs,,,pub,,,,
recycling:mobile_phones,,,coast_guard,,,,
recycling:tv_monitor,,,pub,,,,
reservation,,,atm,,,,
amperage,,,post_box,,,,
voltage,,,post_box,,,,
socket:type2_combo,,,telephone,,,,
socket:type2_combo:output,,,restaurant,,,,
leisure,,,cafe,,,,
diet:kosher,,,atm,,,,
designation,,,pub,,,,
disused:amenity,,,restaurant,,,,
fuel:unleaded,,,restaurant,,,,
theatre:genre,,,restaurant,,,,
fuel:octane_98,,,bench,,,,
drinking_water:refill,,,bench,,,,
