,,,,,,A,B
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,veterinary,,,,
,,,pub,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,vending_machine,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,ice_cream,,,,
,,,clock,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,dentist,,,,
,,,bicycle_parking,,,,
,,,telephone,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,bench,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,bank,,,,
,,,waste_basket,,,,
,,,doctors,,,,
,,,atm,,,,
,,,atm,,,,
,,,atm,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,dentist,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,trolley_bay,,,,
,,,trolley_bay,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,drinking_water,,,,
,,,drinking_water,,,,
,,,motorcycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,vending_machine,,,,
,,,bench,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,public_bookcase,,,,
,,,kindergarten,,,,
,,,parking_entrance,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,fountain,,,,
,,,fast_food,,,,
,,,dentist,,,,
,,,internet_cafe,,,,
,,,dentist,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,atm,,,,
,,,pharmacy,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,charging_station,,,,
,,,toilets,,,,
,,,charging_station,,,,
,,,pub,,,,
,,,bank,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,childcare,,,,
,,,waste_disposal,,,,
,,,parking,,,,
,,,parking_entrance,,,,
,,,parking,,,,
,,,parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,bar,,,,
,,,cafe,,,,
,,,atm,,,,
,,,atm,,,,
,,,pub,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,cafe,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,fast_food,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,nameplate,,,,
,,,car_wash,,,,
,,,cafe,,,,
,,,compressed_air,,,,
,,,ice_cream,,,,
,,,parking_entrance,,,,
,,,post_box,,,,
,,,waste_disposal,,,,
,,,waste_disposal,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,post_box,,,,
,,,clock,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,bench,,,,
,,,bench,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,toilets,,,,
,,,photo_booth,,,,
,,,photo_booth,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
,,,school,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,cafe,,,,
,,,clock,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,clock,,,,
,,,parking_entrance,,,,
,,,clinic,,,,
,,,dentist,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,parcel_locker,,,,
,,,parcel_locker,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,bench,,,,
,,,cafe,,,,
,,,toilets,,,,
,,,charging_station,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,parking_space,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,clock,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,pub,,,,
,,,bicycle_parking,,,,
,,,recycling,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bench,,,,
,,,doctors,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,charging_station,,,,
,,,charging_station,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,ice_cream,,,,
,,,dentist,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
,,,fountain,,,,
,,,fountain,,,,
,,,fountain,,,,
,,,parking,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,charging_station,,,,
,,,parking,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,clinic,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,parcel_locker,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,trolley_bay,,,,
,,,trolley_bay,,,,
,,,trolley_bay,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,dentist,,,,
,,,dentist,,,,
,,,parking,,,,
,,,fountain,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,public_bookcase,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,charging_station,,,,
,,,charging_station,,,,
,,,fuel,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,doctors,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,language_school,,,,
,,,parking_entrance,,,,
,,,charging_station,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,charging_station,,,,
,,,parking,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,vending_machine,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,bank,,,,
,,,cafe,,,,
,,,community_centre,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,toilets,,,,
,,,parking,,,,
,,,vending_machine,,,,
,,,atm,,,,
,,,waste_disposal,,,,
,,,waste_disposal,,,,
,,,waste_disposal,,,,
,,,waste_disposal,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,recycling,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,vending_machine,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_repair_station,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,toilets,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,pharmacy,,,,
,,,veterinary,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,childcare,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,post_box,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,shelter,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,toilets,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,recycling,,,,
,,,restaurant,,,,
,,,fountain,,,,
,,,bicycle_parking,,,,
,,,parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,car_wash,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,fountain,,,,
,,,bench,,,,
,,,place_of_worship,,,,
,,,place_of_worship,,,,
,,,community_centre,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,marketplace,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,veterinary,,,,
,,,restaurant,,,,
,,,clinic,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_office,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,toilets,,,,
,,,recycling,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,grit_bin,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,drinking_water,,,,
,,,reception_desk,,,,
,,,recycling,,,,
,,,shower,,,,
,,,drinking_water,,,,
,,,toilets,,,,
,,,drinking_water,,,,
,,,toilets,,,,
,,,bench,,,,
,,,charging_station,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,drinking_water,,,,
,,,piano,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,dentist,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,toilets,,,,
,,,toilets,,,,
,,,bench,,,,
,,,piano,,,,
,,,library,,,,
,,,toilets,,,,
,,,toilets,,,,
,,,ice_cream,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,arts_centre,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,childcare,,,,
,,,fast_food,,,,
,,,drinking_water,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_repair_station,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,ice_cream,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,clock,,,,
,,,cafe,,,,
,,,fixme,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,clock,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,fountain,,,,
,,,bench,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,drinking_water,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,library,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,charging_station,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,fast_food,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,weighing_machine,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,pub,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
