ID_x,Title,AddressLine1,Town,Postcode,CountryID,Country,Latitude,Longitude,AccessComments,RelatedURL,Distance,DistanceUnit,UUID,StateOrProvince,ContactTelephone1,AddressLine2,ContactTelephone2,ContactEmail,ID_y,ConnectionTypeID,ConnectionType,Reference,StatusTypeID,StatusType,LevelID,Level,Amps,Voltage,PowerKW,CurrentTypeID,CurrentType,Name,Quantity,Comments
15439,Croke Park Hotel,"Croke Park Hotel, Jones Road, Dublin 3",Dublin,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.360803,-6.253881,,,1.2952169158137847,1,F8FD0657-9463-496C-8508-5D1FD63A04C1,,,,,,91951,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",16.0,230.0,3.7,10.0,"{'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}",Type 2 (Socket Only),1.0,
15443,Merrion Hotel,"Merrion Hotel, Upper Merrion Street, Dublin 2",Dublin,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.3385,-6.2529,,,1.3498772462295976,1,9D2CBCD2-5DA6-4064-94A9-28C4C30CEA70,,,,,,91573,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",16.0,230.0,3.7,10.0,"{'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}",Type 2 (Socket Only),1.0,
191102,Sir John Rogerson's Quay,Dublin Port Diving Bell and Visitors Centre,Dublin,D02,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.3459730673203,-6.238523407168799,,,1.5076228985363331,1,3571B23F-6BE5-42ED-934B-F19620080C5C,,,,,,309337,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",3.0,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",,,50.0,30.0,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",CCS (Type 2),2.0,
191102,Sir John Rogerson's Quay,Dublin Port Diving Bell and Visitors Centre,Dublin,D02,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.3459730673203,-6.238523407168799,,,1.5076228985363331,1,3571B23F-6BE5-42ED-934B-F19620080C5C,,,,,,309338,2,"{'FormalName': 'IEC 62196-3 Configuration AA', 'ID': 2, 'Title': 'CHAdeMO'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",3.0,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",,,50.0,30.0,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",CCS (Type 2),2.0,
191102,Sir John Rogerson's Quay,Dublin Port Diving Bell and Visitors Centre,Dublin,D02,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.3459730673203,-6.238523407168799,,,1.5076228985363331,1,3571B23F-6BE5-42ED-934B-F19620080C5C,,,,,,309339,1036,"{'FormalName': 'IEC 62196-2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 1036, 'Title': 'Type 2 (Tethered Connector) '}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",,,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",CCS (Type 2),2.0,
21415,Clifton House,11A Fitzwilliam Street Lower,Dublin,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.33806264414687,-6.2480350310285075,,,1.5391025921329253,1,18EEA793-38A1-4489-953A-DE028DC0FCCA,County Dublin,,Dublin 2,,,22932,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,75,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 75, 'Title': 'Partly Operational (Mixed)'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",32.0,400.0,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",Type 2 (Socket Only),2.0,
127615,Lower Pembroke Street,Dublin 2,County Dublin,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.336699,-6.252228,,,1.5529475444593293,1,6B9E72CC-2A5F-4A65-A77B-5A30D4A00B66,,,,,,178209,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",32.0,400.0,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",Type 2 (Socket Only),2.0,
66945,Earlsfort Terrace,Earlsfort Terrace,Dublin 2,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.335409,-6.257851,,,1.6090644160861074,1,C254C956-06B1-43FF-BC07-27AC082DC6AD,County Dublin,,,,,92020,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",32.0,400.0,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",Type 2 (Socket Only),2.0,
66813,Liffey Street West,Liffey Street West,Dublin 7,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.347636,-6.285234,,,1.6718693464603234,1,689EE3DA-A4AC-4364-955D-0CF70F818F9E,County Dublin,,Smithfield,,,91847,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",32.0,400.0,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",Type 2 (Socket Only),2.0,
23240,Synge Street,Dublin 2,Dublin,,3,"{'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}",53.333894,-6.267083,,,1.8254665402721086,1,FDE6E52D-1498-41E8-8D69-970D04FE92CF,,,,,,24576,25,"{'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}",,50,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",2.0,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",32.0,400.0,22.0,20.0,"{'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}",Type 2 (Socket Only),2.0,
